"3-D MAN/CHARLES CHAN";"3-D MAN"
"KRAVEN THE HUNTER/SE";"KRAVEN THE HUNTER"
"KRAY,D'VON";"KRAVEN THE HUNTER"
KREA,BRUNO;"KRAVEN THE HUNTER"
KRONOS;KRONOS
"KULAN GATH";"KULAN GATH"
"KYLUN/COLIN MCKAY";KYLUN
"LA NUIT";"LA NUIT"
"LADY DEATHSTRIKE/YUR";"LADY DEATHSTRIKE"
"LEADER/SAM STERNS";LEADER
LEECH;LEECH
LEGION;LEGION
"LIGHTSPEED/JULIE POW";LIGHTSPEED
"LILITH/ANGEL O'HARA/";LILITH
LILLIAN,BEA;LILITH
LIN,MEI;LILITH
LIN,PAULA;LILITH
"LIVING LIGHTNING/MIG";"LIVING LIGHTNING"
"LIVING MUMMY";"LIVING MUMMY"
"LIVING TRIBUNAL";"LIVING TRIBUNAL"
"LIZARD/DR. CURTIS CO";LIZARD
LOCKHEED;LOCKHEED
LONGSHOT;LONGSHOT
"MACHINE MAN/X-51";"MACHINE MAN"
MACINTOSH,ANN;"MACHINE MAN"
MACKAY,AILSA;"MACHINE MAN"
MACKAY,MURDO;"MACHINE MAN"
MACKENZIE,AL;"MACHINE MAN"
"MACKENZIE,DR. NEIL";"MACHINE MAN"
"MACLAIN,DR. MYRON";"MACHINE MAN"
MACON,ANGELO;"MACHINE MAN"
MACRAE,TRUTH;"MACHINE MAN"
MACTAGGART,JOE;"MACHINE MAN"
"MACTAGGART,MOIRA | ";"MACHINE MAN"
"MACTAGGERT,MOIRA KI";"MACHINE MAN"
"MADAME MASQUE/GIULIE";"MADAME MASQUE"
"MAELSTROM/MALCOLM ST";MAELSTROM
MAESTRO;MAESTRO
"MAGDALENE/MARISSA DA";MAGDALENE
MAGGOTT/JAPHETH;MAGGOTT
"MAGNETO/MAGNUS/ERIC ";MAGNETO
"MAJOR MAPLELEAF/LOUI";"MAJOR MAPLELEAF"
"MAKKARI/MIKE KHARY/I";MAKKARI
"MAN-THING/THEODORE T";MAN-THING
