4EX;4 (EARTH X)
CA:P;CAPTAIN AMERICA: PATRIOT
CA:REBORN;CAPTAIN AMERICA: REBORN
CA:RW&B TPB;CAPTAIN AMERICA: RED WHITE & BLUE TRADE PAPERBACK
CA:SL;CAPTAIN AMERICA: SENTINEL OF LIBERTY
CA:WHO;CAPTAIN AMERICA: WHO WILL WIELD THE SHIELD?
CA:WPG;CAPTAIN AMERICA: WHAT PRICE GLORY
CABB;CAPTAIN AMERICA'S BICENTENNIAL BATTLES (TREASURY)
CAC;CAPTAIN AMERICA COMICS
CAC70A;CAPTAIN AMERICA COMICS 70TH ANNIVERSARY SPECIAL
CAD;CLOAK AND DAGGER
CAD2;CLOAK AND DAGGER VOL. 2
CAD3;CLOAK AND DAGGER VOL. 3
CAD4;CLOAK AND DAGGER VOL. 4
CAGE;CAGE
CALL;CALL
CALLD:BHOOD;CALL OF DUTY: BROTHERHOOD
CALLD:PRCNT;CALL OF DUTY: PRECINCT
CALLD:WAGON;CALL OF DUTY: WAGON
CAP;CAP
CAT;CAT
CAT-MANC;CAT-MAN COMICS
CATOW:AF;CAPTAIN AMERICA THEATER OF WAR: AMERICA FIRST!
CATOW:ATB;CAPTAIN AMERICA THEATER OF WAR: AMERICA THE BEAUTIFUL
CATOW:BIA;CAPTAIN AMERICA THEATER OF WAR: A BROTHER IN ARMS
CATOW:GOMC;CAPTAIN AMERICA THEATER OF WAR: GHOSTS OF MY COUNTRY
CATOW:OZP;CAPTAIN AMERICA THEATER OF WAR: OPERATION ZERO POINT
CATOW:POD;CAPTAIN AMERICA THEATER OF WAR: PRISONERS OF DUTY
CATOW:TSO;CAPTAIN AMERICA THEATER OF WAR: TO SOLDIER ON
CB;CAPTAIN BRITAIN (British Comic)
CB2;CAPTAIN BRITAIN VOL. 2 (British Comic)
CB&MI13;CAPTAIN BRITAIN & MI13
CDAWN;CRIMSON DAWN
CDYNAMO;CRIMSON DYNAMO
CEDGE;CUTTING EDGE
CEN:DS;CENTURY: DISTANT SONS
CHAMBER;CHAMBER
CHAMPC;CHAMP COMICS
CHAMPIONC;CHAMPION COMICS
CHAOS;CHAOS WAR
CHAOS:AF;CHAOS WAR: ALPHA FLIGHT
CHAOS:CK;CHAOS WAR: CHAOS KING
CHAOS:DA;CHAOS WAR: DEAD AVENGERS
CHAOS:GS;CHAOS WAR: GOD SQUAD
CHAOS:T;CHAOS WAR: THOR
CHMPS;CHAMPIONS
CHILI;CHILI
CINDYC;CINDY COMICS
CINDYS;CINDY SMITH
CK;COMBAT KELLY
CK2;COMBAT KELLY VOL. 2
CLAN;CLANDESTINE
CLAN2;CLANDESTINE VOL. 2
CLAP;CLASSIC PUNISHER
CLAWS;CLAWS
CLYSM;CATACLYSM
CLYSM:ULTCSM;CATACLYSM: ULTIMATE COMICS SPIDER-MAN
CLYSM:ULTCULTS;CATACLYSM: ULTIMATE COMICS ULTIMATES
CLYSM:ULTCXM;CATACLYSM: ULTIMATE COMICS X-MEN
CLYSM:ULTSLS;CATACLYSM: ULTIMATES' LAST STAND
CM;CAPTAIN MARVEL
CM2;CAPTAIN MARVEL VOL. 2
CM3;CAPTAIN MARVEL VOL. 3
CM4;CAPTAIN MARVEL VOL. 4
CM5;CAPTAIN MARVEL VOL. 5
CM6;CAPTAIN MARVEL VOL. 6 (EARTH'S MIGHTIEST HERO)
CM7;CAPTAIN MARVEL VOL. 7
CM GSSPEC;CAPTAIN MARVEL GIANT-SIZE SPECIAL
CM:FYM;CAPTAIN MARVEL: FREE  YOUR MIND
CMPLTC;COMPLETE COMICS
CMPLTM;COMPLETE MYSTERY
CN:FARM;CODENAME: FIREARM
CN:GENE;CODENAME: GENETIX
CN:SFIRE;CODENAME: SPITFIRE
CO;CONAN
COB;CONAN THE BARBARIAN
COCHILLS;CHAMBER OF CHILLS
COCII;CONTEST OF CHAMPIONS II
CODNESS;CHAMBER OF DARKNESS
COH;CODE OF HONOR
COL;COLOSSUS
COMEDYC;COMEDY COMICS
COMET;COMET MAN
CONSPIRACY;CONSPIRACY
CORUNE;CURSE OF RUNE
COSAV;CONAN THE SAVAGE
COTL;CREATURES ON THE LOOSE
COV;CHILDREN OF THE VOYAGER
COV.RUNE;CONAN VS. RUNE
CP;COSMIC POWERS
CPU;COSMIC POWERS UNLIMITED
CRASHC;CRASH COMICS
CREW;CREW
CRIMEF;CRIMEFIGHTERS
CRITICAL MASS;CRITICAL MASS
CRNG;CARNAGE
CRNG:MB;CARNAGE: MIND BOMB
CRNG:WL;CARNAGE: IT'S A WONDERFUL LIFE
CRNGUSA;CARNAGE U.S.A.
CRSM:BLD;CURSE OF THE MUTANTS: BLADE
CRSM:S&B;CURSE OF THE MUTANTS: SMOKE & BLOOD
CRSM:STORM&GAM;CURSE OF THE MUTANTS: STORM & GAMBIT
CRSM:XV.V;CURSE OF THE MUTANTS: X-MEN VS. VAMPIRES
CRYS;CRYSTAR
CSAV;CAPTAIN SAVAGE
CU/DD;CAPTAIN UNIVERSE/DAREDEVIL
CU/H;CAPTAIN UNIVERSE/HULK
CU/INVW;CAPTAIN UNIVERSE/INVISIBLE WOMAN
CU/SS;CAPTAIN UNIVERSE/SILVER SURFER
CU/X-23;CAPTAIN UNIVERSE/X-23
CV;CITIZEN V AND THE V BATTALION
CV2;CITIZEN V AND THE V BATTALION VOL. 2 (EVERLASTING)
CW;CIVIL WAR
CW:BDR;CIVIL WAR: BATTLE DAMAGE REPORT
CW:C;CIVIL WAR: CONFESSION
CW:CS;CIVIL WAR: CHOOSING SIDES
CW:FL;CIVIL WAR: FRONT LINE
CW:I;CIVIL WAR: INITIATIVE
CW:R;CIVIL WAR: RETURN
CW:WC;CIVIL WAR: WAR CRIMES
CW:X;CIVIL WAR: X-MEN
CW:YA/RUN;CIVIL WAR: YOUNG AVENGERS/RUNAWAYS
CX;CLASSIC X-MEN
CY;CYCLOPS
CY3;CYCLOPS VOL. 3
CYBER;CYBERSPACE 3000
CYBERFORCE;CYBERFORCE
CYBLADE/GR;CYBLADE/GHOST RIDER
D.P.7;D.P.7
D:LU;DRACULA: LORD OF THE UNDEAD
DA;DARK AVENGERS
DA2;DARK AVENGERS VOL. 2
DA/UX:EXODUS;DARK AVENGERS/UNCANNY X-MEN: EXODUS
DA/UX:UTOPIA;DARK AVENGERS/UNCANNY X-MEN: UTOPIA
DA:ARES;DARK AVENGERS: ARES
DAKEN:DW;DAKEN: DARK WOLVERINE
DAMCON;DAMAGE CONTROL
DAMCON2;DAMAGE CONTROL VOL. 2
DAMCON3;DAMAGE CONTROL VOL. 3
DANGEL;DARK ANGEL
DARC;DARING COMICS
DARMC;DARING MYSTERY COMICS
DARMC70A;DARING MYSTERY COMICS 70TH ANNIVERSARY SPECIAL
DAYD;DAYDREAMERS
DAZZ;DAZZLER
DAZZ2;DAZZLER VOL. 2
DB;DAILY BUGLE
DBCW;DAILY BUGLE CIVIL WAR SPECIAL
DC/M/:AACC;DC/MARVEL: ALL ACCESS
DCLAWS;DRAGON'S CLAWS
DCV.M/;DC VS. MARVEL
DCUT;DIE-CUT
DCUTV.GF;DIE-CUT VS. G-FORCE
DD;DAREDEVIL
DD2;DAREDEVIL VOL. 2
DD3;DAREDEVIL VOL. 3
DD4;DAREDEVIL VOL. 4
DD&CA:DOA;DAREDEVIL & CAPTAIN AMERICA: DEAD ON ARRIVAL
DD/BW:A;DAREDEVIL/BLACK WIDOW: ABATTOIR
DD/SM;DAREDEVIL/SPIDER-MAN
DD:BJM;DAREDEVIL: BATTLING JACK MURDOCK
DD:BOT;DAREDEVIL: BLOOD OF THE TARANTULA
DD:CM;DAREDEVIL: CAGE MATCH
DD:F;DAREDEVIL: FATHER
DD:FFG;DAREDEVIL: FALL FROM GRACE TPB
DD:N;DAREDEVIL: NINJA
DD:R;DAREDEVIL: REDEMPTION
DD:T;DAREDEVIL: TARGET
DD:YELLOW;DAREDEVIL: YELLOW
DDEVIL;DARKDEVIL
DDINO;DEVIL DINOSAUR
DDINO2;DEVIL DINOSAUR VOL. 2
DDNOIR;DAREDEVIL NOIR
DDS;DAREDEVILS (British Comic)
DDV.P;DAREDEVIL VS PUNISHER
DEATH3;DEATH³
DEDGE:A;DOUBLE EDGE: ALPHA
DEDGE:O;DOUBLE EDGE: OMEGA
DEF;DEFENDERS
DEF2;DEFENDERS VOL. 2
DEF3;DEFENDERS VOL. 3
DEF4;DEFENDERS VOL. 4
DEVILS;DEVILS
DF;DOMINATION FACTOR
DFSM;DEADLY FOES OF SPIDER-MAN
DGUARD;DARK GUARD
DH;DEATH'S HEAD
DH:BIQ;DEATH'S HEAD: BODY IN QUESTION
DHAWK;DARKHAWK
DHGOLD;DEATH'S HEAD GOLD
DHII;DEATH'S HEAD II
DHII2;DEATH'S HEAD II VOL. 2
DHII&ODCUT;DEATH'S HEAD II & ORIGIN OF DIE-CUT
DHKF;DEADLY HANDS OF KUNG FU
DHKF2;DEADLY HANDS OF KUNG FU VOL. 2
DHOLD;DARKHOLD
DIGI;DIGITEK
DISTX;DISTRICT X
DL;DRACULA LIVES! (MAGAZINE)
DLINE;DEADLINE
DLOK;DEATHLOK
DLOK2;DEATHLOK VOL. 2
DLOK3;DEATHLOK VOL. 3
DMTL;DEATH METAL
DMTLV.GENE;DEATH METAL VS. GENETIX
DN;DAKOTA NORTH
